Date,Open,High,Low,Close
2000-01-04,66.568,67.755,66.529,67.742
2000-01-05,67.648,68.362,67.308,68.297
2000-01-06,68.152,68.943,67.924,68.799
2000-01-07,68.931,69.337,68.656,68.983
2000-01-10,68.938,69.102,68.4,68.925
2000-01-11,69.051,69.899,69.051,69.741
2000-01-12,69.652,69.829,69.362,69.619
2000-01-13,70.714,70.955,70.407,70.835
2000-01-14,70.576,70.789,70.124,70.397
2000-01-17,70.145,70.192,69.343,69.482
2000-01-18,69.739,70.304,69.659,70.257
2000-01-19,70.016,70.281,69.625,69.751
2000-01-20,70.099,70.392,70.019,70.139
2000-01-21,69.859,69.939,69.196,69.382
2000-01-24,68.832,69.251,68.453,69.127
2000-01-25,69.026,69.34,68.96,69.294
2000-01-26,68.942,69.138,68.617,68.741
2000-01-27,69.141,69.318,68.493,68.821
2000-01-28,65.86,67.22,65.509,67.107
2000-01-31,68.192,68.581,67.981,68.485
2000-02-01,67.817,68.177,67.634,68.069
2000-02-02,68.442,69.171,68.34,68.607
2000-02-03,68.836,69.237,68.186,68.473
2000-02-04,67.987,68.335,67.734,67.779
2000-02-07,68.176,69.149,68.094,69.06
2000-02-08,68.859,69.543,68.821,69.417
2000-02-09,69.437,69.545,68.828,68.961
2000-02-10,68.752,69.037,68.411,68.993
2000-02-11,68.559,68.929,68.264,68.295
2000-02-14,68.298,68.298,67.622,68.192
2000-02-15,68.607,68.878,68.317,68.771
2000-02-16,68.771,69.08,68.576,68.891
2000-02-17,69.076,69.82,68.956,69.801
2000-02-18,69.511,69.983,69.347,69.769
2000-02-21,69.441,69.766,69.09,69.66
2000-02-22,69.643,69.943,69.192,69.373
2000-02-23,68.598,68.907,68.133,68.827
2000-02-24,68.224,68.439,67.843,68.298
2000-02-25,68.45,68.548,67.681,67.835
2000-02-28,67.375,67.51,66.256,66.947
2000-02-29,67.318,67.896,67.25,67.767
2000-03-01,66.78,66.859,64.574,64.931
2000-03-02,64.991,65.439,64.603,65.306
2000-03-03,65.461,65.632,65.2,65.461
2000-03-06,64.818,64.86,64.121,64.541
2000-03-07,64.918,65.269,63.808,64.013
2000-03-08,64.603,65.394,64.512,65.248
2000-03-09,65.908,65.969,65.287,65.57
