Date,Open,High,Low,Close
2000-01-04,69.88,71.12,69.83,71.11
2000-01-05,71.18,71.93,70.82,71.86
2000-01-06,71.57,72.4,71.33,72.25
2000-01-07,72.33,72.75,72.04,72.38
2000-01-10,72.21,72.38,71.64,72.19
2000-01-11,72.1,72.98,72.1,72.82
2000-01-12,72.91,73.09,72.61,72.87
2000-01-13,73.08,73.33,72.76,73.2
2000-01-14,73.21,73.44,72.74,73.03
2000-01-17,72.95,73,72.12,72.26
2000-01-18,72.33,72.92,72.25,72.87
2000-01-19,72.83,73.1,72.42,72.55
2000-01-20,72.73,73.03,72.65,72.77
2000-01-21,73.22,73.3,72.53,72.72
2000-01-24,73.09,73.53,72.68,73.4
2000-01-25,73.38,73.71,73.31,73.66
2000-01-26,73.72,73.93,73.38,73.51
2000-01-27,73.66,73.85,72.97,73.32
2000-01-28,72.53,74.02,72.14,73.9
2000-01-31,73.74,74.17,73.52,74.06
2000-02-01,74.26,74.66,74.06,74.54
2000-02-02,74.79,75.59,74.68,74.97
2000-02-03,75.11,75.55,74.4,74.72
2000-02-04,74.35,74.73,74.07,74.12
2000-02-07,74.27,75.33,74.18,75.23
2000-02-08,75.08,75.83,75.04,75.69
2000-02-09,75.84,75.96,75.18,75.32
2000-02-10,75.06,75.37,74.69,75.32
2000-02-11,75.24,75.64,74.91,74.95
2000-02-14,75,75,74.26,74.88
2000-02-15,74.7,75,74.39,74.88
2000-02-16,75.22,75.55,75,75.35
2000-02-17,75.41,76.22,75.28,76.2
2000-02-18,76.2,76.72,76.02,76.49
2000-02-21,76.33,76.69,75.95,76.57
2000-02-22,76.19,76.52,75.69,75.89
2000-02-23,75.71,76.05,75.19,75.96
2000-02-24,76.18,76.42,75.76,76.27
2000-02-25,76.76,76.87,75.9,76.07
2000-02-28,75.81,75.96,74.55,75.33
2000-02-29,75.52,76.17,75.44,76.03
2000-03-01,76.15,76.24,73.63,74.04
2000-03-02,73.61,74.12,73.17,73.97
2000-03-03,74.25,74.45,73.96,74.25
2000-03-06,74.12,74.17,73.32,73.8
2000-03-07,74.07,74.47,72.81,73.04
2000-03-08,72.86,73.75,72.75,73.58
2000-03-09,73.49,73.56,72.8,73.11
2000-03-10,73.16,73.23,72.77,72.91
2000-03-13,72.77,72.97,71.71,72.3
2000-03-14,72.16,72.39,71.5,71.95
2000-03-15,71.7,72.38,71.35,72
2000-03-16,71.77,71.88,71.38,71.67
2000-03-17,71.58,72.5,71.51,72.45
2000-03-20,72.74,72.87,72.27,72.4
2000-03-21,72.58,73.12,72.5,72.91
2000-03-22,72.61,72.89,72.42,72.8
2000-03-23,72.65,73.11,72.54,72.81
2000-03-24,73.36,73.66,72.98,73.1
2000-03-27,73.28,73.48,73.06,73.16
2000-03-28,73.41,73.43,72.65,72.75
2000-03-29,72.67,73.02,72.1,72.6
2000-03-30,72.6,72.74,71.94,72.34
2000-03-31,72.64,73.08,70.28,70.8
2000-04-03,71.06,72.65,70.71,72.13
2000-04-04,72.22,72.81,71.68,72.42
2000-04-05,72.36,72.58,72.03,72.16
2000-04-06,72.25,72.44,72.03,72.16
2000-04-07,71.86,72.35,71.81,72.28
2000-04-10,72.2,73.15,72.08,72.87
2000-04-11,72.75,73.19,72.64,73.04
2000-04-12,73.12,73.16,71.98,72.33
2000-04-13,72.21,72.41,72.05,72.24
2000-04-14,71.71,71.93,70.96,70.98
2000-04-17,70.13,70.92,69.42,70.31
2000-04-18,70.44,70.69,70.12,70.58
2000-04-19,70.94,71.2,70.62,71.01
2000-04-20,71.1,71.73,70.82,71.63
2000-04-21,71.7,71.83,71.51,71.73
2000-04-24,71.7,71.84,71.19,71.68
2000-04-25,71.89,72.36,71.57,72.33
2000-04-26,72.04,72.38,71.52,72.02
2000-04-27,71.83,72.09,71.54,71.93
2000-04-28,71.85,73.13,71.81,73.07
2000-05-01,72.94,73.73,72.81,73.54
2000-05-02,73.22,73.36,72.86,72.99
2000-05-03,72.73,73.4,72.61,73.07
2000-05-04,72.85,73.2,71.86,72.09
2000-05-05,72.18,72.66,71.68,72.56
2000-05-08,72.85,73.17,72.55,73.02
2000-05-09,72.93,73.42,72.69,73.14
2000-05-10,72.97,73.25,72.57,73.2
2000-05-11,73.54,73.91,72.55,72.82
2000-05-12,72.9,73.31,72.37,72.83
2000-05-15,72.98,73.6,72.9,73.38
2000-05-16,73.5,74,73.22,73.81
2000-05-17,73.24,73.48,72.79,72.98
2000-05-18,72.75,72.91,72.22,72.38
2000-05-19,72.55,72.84,71.13,71.59
2000-05-22,71.52,71.77,71.3,71.53
2000-05-23,71.2,71.31,70.71,70.73
