Date,Open,High,Low,Close
2000-01-04,66.376,66.376,66.376,66.376
2000-01-05,67.11,67.11,67.11,67.11
2000-01-06,67.766,67.766,67.766,67.766
2000-01-07,67.284,67.284,67.284,67.284
2000-01-10,66.99,66.99,66.99,66.99
2000-01-11,68.071,68.071,68.071,68.071
2000-01-12,67.849,67.849,67.849,67.849
2000-01-13,67.505,67.505,67.505,67.505
2000-01-14,66.427,66.427,66.427,66.427
2000-01-17,65.636,65.636,65.636,65.636
2000-01-18,66.406,66.406,66.406,66.406
2000-01-19,66.253,66.253,66.253,66.253
2000-01-20,66.516,66.516,66.516,66.516
2000-01-21,65.593,65.593,65.593,65.593
2000-01-24,65.972,65.972,65.972,65.972
2000-01-25,65.722,65.722,65.722,65.722
2000-01-26,65.655,65.655,65.655,65.655
2000-01-27,64.391,64.391,64.391,64.391
2000-01-28,64.748,64.748,64.748,64.748
2000-01-31,64.628,64.628,64.628,64.628
2000-02-01,64.968,64.968,64.968,64.968
2000-02-02,65.492,65.492,65.492,65.492
2000-02-03,66.376,66.376,66.376,66.376
2000-02-04,65.478,65.478,65.478,65.478
2000-02-07,66.345,66.345,66.345,66.345
2000-02-08,67.071,67.071,67.071,67.071
2000-02-09,67.317,67.317,67.317,67.317
2000-02-10,67.047,67.047,67.047,67.047
2000-02-11,66.862,66.862,66.862,66.862
2000-02-14,66.275,66.275,66.275,66.275
2000-02-15,66.723,66.723,66.723,66.723
2000-02-16,67.269,67.269,67.269,67.269
2000-02-17,68.117,68.117,68.117,68.117
2000-02-18,68.115,68.115,68.115,68.115
2000-02-21,68.623,68.623,68.623,68.623
2000-02-22,69.216,69.216,69.216,69.216
2000-02-23,69.127,69.127,69.127,69.127
2000-02-24,68.66,68.66,68.66,68.66
2000-02-25,66.816,66.816,66.816,66.816
2000-02-28,66.235,66.235,66.235,66.235
2000-02-29,66.186,66.186,66.186,66.186
2000-03-01,64.841,64.841,64.841,64.841
2000-03-02,64.545,64.545,64.545,64.545
2000-03-03,64.296,64.296,64.296,64.296
2000-03-06,64.267,64.267,64.267,64.267
2000-03-07,63.361,63.361,63.361,63.361
2000-03-08,64.122,64.122,64.122,64.122
2000-03-09,64.152,64.152,64.152,64.152
2000-03-10,63.598,63.598,63.598,63.598
2000-03-13,63.261,63.261,63.261,63.261
2000-03-14,63.101,63.101,63.101,63.101
2000-03-15,63.135,63.135,63.135,63.135
2000-03-16,63.658,63.658,63.658,63.658
2000-03-17,64.284,64.284,64.284,64.284
2000-03-20,64.136,64.136,64.136,64.136
2000-03-21,63.955,63.955,63.955,63.955
2000-03-22,63.695,63.695,63.695,63.695
2000-03-23,65.182,65.182,65.182,65.182
2000-03-24,65.77,65.77,65.77,65.77
2000-03-27,64.816,64.816,64.816,64.816
2000-03-28,63.998,63.998,63.998,63.998
2000-03-29,63.245,63.245,63.245,63.245
2000-03-30,63.473,63.473,63.473,63.473
2000-03-31,61.761,61.761,61.761,61.761
2000-04-03,63.292,63.292,63.292,63.292
2000-04-04,63.973,63.973,63.973,63.973
2000-04-05,64.062,64.062,64.062,64.062
2000-04-06,64.01,64.01,64.01,64.01
2000-04-07,64.061,64.061,64.061,64.061
2000-04-10,65.049,65.049,65.049,65.049
2000-04-11,65.127,65.127,65.127,65.127
2000-04-12,64.459,64.459,64.459,64.459
2000-04-13,64.047,64.047,64.047,64.047
2000-04-14,64.178,64.178,64.178,64.178
2000-04-17,63.326,63.326,63.326,63.326
2000-04-18,63.078,63.078,63.078,63.078
2000-04-19,62.718,62.718,62.718,62.718
2000-04-20,62.872,62.872,62.872,62.872
2000-04-21,63.16,63.16,63.16,63.16
2000-04-24,63.051,63.051,63.051,63.051
2000-04-25,62.277,62.277,62.277,62.277
2000-04-26,62.297,62.297,62.297,62.297
2000-04-27,61.586,61.586,61.586,61.586
2000-04-28,62.773,62.773,62.773,62.773
2000-05-01,63.753,63.753,63.753,63.753
2000-05-02,63.177,63.177,63.177,63.177
2000-05-03,63.211,63.211,63.211,63.211
2000-05-04,62.221,62.221,62.221,62.221
2000-05-05,62.715,62.715,62.715,62.715
2000-05-08,63.225,63.225,63.225,63.225
2000-05-09,63.736,63.736,63.736,63.736
2000-05-10,63.755,63.755,63.755,63.755
2000-05-11,62.715,62.715,62.715,62.715
2000-05-12,64.129,64.129,64.129,64.129
2000-05-15,64.004,64.004,64.004,64.004
2000-05-16,63.906,63.906,63.906,63.906
2000-05-17,63.115,63.115,63.115,63.115
2000-05-18,62.53,62.53,62.53,62.53
2000-05-19,61.878,61.878,61.878,61.878
2000-05-22,62.151,62.151,62.151,62.151
2000-05-23,61.717,61.717,61.717,61.717
2000-05-24,62.298,62.298,62.298,62.298
2000-05-25,62.675,62.675,62.675,62.675
2000-05-26,63.688,63.688,63.688,63.688
2000-05-29,63.285,63.285,63.285,63.285
2000-05-30,63.017,63.017,63.017,63.017
2000-05-31,64.155,64.155,64.155,64.155
2000-06-01,64.351,64.351,64.351,64.351
2000-06-02,64.998,64.998,64.998,64.998
2000-06-05,64.85,64.85,64.85,64.85
2000-06-06,64.276,64.276,64.276,64.276
2000-06-07,64.659,64.659,64.659,64.659
2000-06-08,64.754,64.754,64.754,64.754
2000-06-09,65.052,65.052,65.052,65.052
2000-06-12,65.236,65.236,65.236,65.236
2000-06-13,65.74,65.74,65.74,65.74
2000-06-14,65.25,65.25,65.25,65.25
2000-06-15,65.064,65.064,65.064,65.064
2000-06-16,65.73,65.73,65.73,65.73
2000-06-19,65.136,65.136,65.136,65.136
2000-06-20,64.857,64.857,64.857,64.857
2000-06-21,64.46,64.46,64.46,64.46
2000-06-22,63.267,63.267,63.267,63.267
2000-06-23,63.194,63.194,63.194,63.194
2000-06-26,63.954,63.954,63.954,63.954
2000-06-27,64.472,64.472,64.472,64.472
2000-06-28,64.114,64.114,64.114,64.114
2000-06-29,64.359,64.359,64.359,64.359
2000-06-30,64.88,64.88,64.88,64.88
2000-07-03,64.616,64.616,64.616,64.616
2000-07-04,64.961,64.961,64.961,64.961
2000-07-05,65.833,65.833,65.833,65.833
2000-07-06,65.999,65.999,65.999,65.999
2000-07-07,66.342,66.342,66.342,66.342
2000-07-10,66.057,66.057,66.057,66.057
2000-07-11,65.748,65.748,65.748,65.748
2000-07-12,65.634,65.634,65.634,65.634
2000-07-13,65.402,65.402,65.402,65.402
2000-07-14,65.246,65.246,65.246,65.246
2000-07-17,65.531,65.531,65.531,65.531
2000-07-18,64.596,64.596,64.596,64.596
2000-07-19,64.681,64.681,64.681,64.681
2000-07-20,64.854,64.854,64.854,64.854
2000-07-21,65.567,65.567,65.567,65.567
2000-07-24,65.279,65.279,65.279,65.279
2000-07-25,66.112,66.112,66.112,66.112
2000-07-26,66.304,66.304,66.304,66.304
2000-07-27,65.598,65.598,65.598,65.598
2000-07-28,65.345,65.345,65.345,65.345
2000-07-31,65.498,65.498,65.498,65.498
2000-08-01,64.683,64.683,64.683,64.683
2000-08-02,64.55,64.55,64.55,64.55
2000-08-03,63.526,63.526,63.526,63.526
2000-08-04,63.708,63.708,63.708,63.708
