Date,Open,High,Low,Close
2000-01-04,0.6295,0.6295,0.6295,0.6295
2000-01-05,0.6293,0.6293,0.6293,0.6293
2000-01-06,0.6255,0.6255,0.6255,0.6255
2000-01-07,0.6282,0.6282,0.6282,0.6282
2000-01-10,0.6263,0.6263,0.6263,0.6263
2000-01-11,0.627,0.627,0.627,0.627
2000-01-12,0.6247,0.6247,0.6247,0.6247
2000-01-13,0.6226,0.6226,0.6226,0.6226
2000-01-14,0.6186,0.6186,0.6186,0.6186
2000-01-17,0.6191,0.6191,0.6191,0.6191
2000-01-18,0.6181,0.6181,0.6181,0.6181
2000-01-19,0.6153,0.6153,0.6153,0.6153
2000-01-20,0.6126,0.6126,0.6126,0.6126
2000-01-21,0.6116,0.6116,0.6116,0.6116
2000-01-24,0.6063,0.6063,0.6063,0.6063
2000-01-25,0.6095,0.6095,0.6095,0.6095
2000-01-26,0.6111,0.6111,0.6111,0.6111
2000-01-27,0.6046,0.6046,0.6046,0.6046
2000-01-28,0.6026,0.6026,0.6026,0.6026
2000-01-31,0.603,0.603,0.603,0.603
2000-02-01,0.6022,0.6022,0.6022,0.6022
2000-02-02,0.6086,0.6086,0.6086,0.6086
2000-02-03,0.6187,0.6187,0.6187,0.6187
2000-02-04,0.6159,0.6159,0.6159,0.6159
2000-02-07,0.6138,0.6138,0.6138,0.6138
2000-02-08,0.6132,0.6132,0.6132,0.6132
2000-02-09,0.6151,0.6151,0.6151,0.6151
2000-02-10,0.6142,0.6142,0.6142,0.6142
2000-02-11,0.6183,0.6183,0.6183,0.6183
2000-02-14,0.6161,0.6161,0.6161,0.6161
2000-02-15,0.6167,0.6167,0.6167,0.6167
2000-02-16,0.6137,0.6137,0.6137,0.6137
2000-02-17,0.6148,0.6148,0.6148,0.6148
2000-02-18,0.6162,0.6162,0.6162,0.6162
2000-02-21,0.6168,0.6168,0.6168,0.6168
2000-02-22,0.6232,0.6232,0.6232,0.6232
2000-02-23,0.6241,0.6241,0.6241,0.6241
2000-02-24,0.6213,0.6213,0.6213,0.6213
2000-02-25,0.6119,0.6119,0.6119,0.6119
2000-02-28,0.6074,0.6074,0.6074,0.6074
2000-02-29,0.6109,0.6109,0.6109,0.6109
2000-03-01,0.6133,0.6133,0.6133,0.6133
2000-03-02,0.6115,0.6115,0.6115,0.6115
2000-03-03,0.609,0.609,0.609,0.609
2000-03-06,0.6108,0.6108,0.6108,0.6108
2000-03-07,0.6062,0.6062,0.6062,0.6062
2000-03-08,0.608,0.608,0.608,0.608
2000-03-09,0.6119,0.6119,0.6119,0.6119
2000-03-10,0.6118,0.6118,0.6118,0.6118
2000-03-13,0.6113,0.6113,0.6113,0.6113
2000-03-14,0.6134,0.6134,0.6134,0.6134
2000-03-15,0.6164,0.6164,0.6164,0.6164
2000-03-16,0.6152,0.6152,0.6152,0.6152
2000-03-17,0.6178,0.6178,0.6178,0.6178
2000-03-20,0.6192,0.6192,0.6192,0.6192
2000-03-21,0.6168,0.6168,0.6168,0.6168
2000-03-22,0.6101,0.6101,0.6101,0.6101
2000-03-23,0.6116,0.6116,0.6116,0.6116
2000-03-24,0.613,0.613,0.613,0.613
2000-03-27,0.6092,0.6092,0.6092,0.6092
2000-03-28,0.6055,0.6055,0.6055,0.6055
2000-03-29,0.6001,0.6001,0.6001,0.6001
2000-03-30,0.6023,0.6023,0.6023,0.6023
2000-03-31,0.6007,0.6007,0.6007,0.6007
2000-04-03,0.597,0.597,0.597,0.597
2000-04-04,0.6004,0.6004,0.6004,0.6004
2000-04-05,0.6062,0.6062,0.6062,0.6062
2000-04-06,0.6065,0.6065,0.6065,0.6065
2000-04-07,0.6064,0.6064,0.6064,0.6064
2000-04-10,0.6064,0.6064,0.6064,0.6064
2000-04-11,0.6048,0.6048,0.6048,0.6048
2000-04-12,0.601,0.601,0.601,0.601
2000-04-13,0.5998,0.5998,0.5998,0.5998
2000-04-14,0.6024,0.6024,0.6024,0.6024
2000-04-17,0.6029,0.6029,0.6029,0.6029
2000-04-18,0.601,0.601,0.601,0.601
2000-04-19,0.5949,0.5949,0.5949,0.5949
2000-04-20,0.5932,0.5932,0.5932,0.5932
2000-04-21,0.5943,0.5943,0.5943,0.5943
2000-04-24,0.5947,0.5947,0.5947,0.5947
2000-04-25,0.5851,0.5851,0.5851,0.5851
2000-04-26,0.5836,0.5836,0.5836,0.5836
2000-04-27,0.5763,0.5763,0.5763,0.5763
2000-04-28,0.5838,0.5838,0.5838,0.5838
2000-05-01,0.5891,0.5891,0.5891,0.5891
2000-05-02,0.5827,0.5827,0.5827,0.5827
2000-05-03,0.5696,0.5696,0.5696,0.5696
2000-05-04,0.5778,0.5778,0.5778,0.5778
2000-05-05,0.586,0.586,0.586,0.586
2000-05-08,0.5846,0.5846,0.5846,0.5846
2000-05-09,0.5912,0.5912,0.5912,0.5912
2000-05-10,0.6018,0.6018,0.6018,0.6018
2000-05-11,0.6019,0.6019,0.6019,0.6019
2000-05-12,0.6028,0.6028,0.6028,0.6028
2000-05-15,0.6065,0.6065,0.6065,0.6065
2000-05-16,0.6031,0.6031,0.6031,0.6031
2000-05-17,0.5978,0.5978,0.5978,0.5978
2000-05-18,0.6047,0.6047,0.6047,0.6047
2000-05-19,0.6045,0.6045,0.6045,0.6045
2000-05-22,0.606,0.606,0.606,0.606
2000-05-23,0.6132,0.6132,0.6132,0.6132
2000-05-24,0.6163,0.6163,0.6163,0.6163
2000-05-25,0.6183,0.6183,0.6183,0.6183
2000-05-26,0.6257,0.6257,0.6257,0.6257
2000-05-29,0.6227,0.6227,0.6227,0.6227
2000-05-30,0.6234,0.6234,0.6234,0.6234
2000-05-31,0.6246,0.6246,0.6246,0.6246
2000-06-01,0.6243,0.6243,0.6243,0.6243
2000-06-02,0.6254,0.6254,0.6254,0.6254
2000-06-05,0.6238,0.6238,0.6238,0.6238
2000-06-06,0.6251,0.6251,0.6251,0.6251
2000-06-07,0.6306,0.6306,0.6306,0.6306
2000-06-08,0.633,0.633,0.633,0.633
2000-06-09,0.6316,0.6316,0.6316,0.6316
2000-06-12,0.6321,0.6321,0.6321,0.6321
2000-06-13,0.6364,0.6364,0.6364,0.6364
2000-06-14,0.6385,0.6385,0.6385,0.6385
2000-06-15,0.6301,0.6301,0.6301,0.6301
2000-06-16,0.6362,0.6362,0.6362,0.6362
2000-06-19,0.6338,0.6338,0.6338,0.6338
2000-06-20,0.6328,0.6328,0.6328,0.6328
2000-06-21,0.6305,0.6305,0.6305,0.6305
2000-06-22,0.6203,0.6203,0.6203,0.6203
2000-06-23,0.623,0.623,0.623,0.623
2000-06-26,0.6252,0.6252,0.6252,0.6252
2000-06-27,0.6277,0.6277,0.6277,0.6277
2000-06-28,0.6242,0.6242,0.6242,0.6242
2000-06-29,0.6262,0.6262,0.6262,0.6262
2000-06-30,0.6308,0.6308,0.6308,0.6308
2000-07-03,0.6287,0.6287,0.6287,0.6287
2000-07-04,0.6278,0.6278,0.6278,0.6278
2000-07-05,0.6316,0.6316,0.6316,0.6316
2000-07-06,0.631,0.631,0.631,0.631
2000-07-07,0.6262,0.6262,0.6262,0.6262
2000-07-10,0.6302,0.6302,0.6302,0.6302
2000-07-11,0.628,0.628,0.628,0.628
2000-07-12,0.6254,0.6254,0.6254,0.6254
2000-07-13,0.6228,0.6228,0.6228,0.6228
2000-07-14,0.6249,0.6249,0.6249,0.6249
2000-07-17,0.6265,0.6265,0.6265,0.6265
2000-07-18,0.6236,0.6236,0.6236,0.6236
2000-07-19,0.6166,0.6166,0.6166,0.6166
2000-07-20,0.6154,0.6154,0.6154,0.6154
2000-07-21,0.617,0.617,0.617,0.617
2000-07-24,0.6154,0.6154,0.6154,0.6154
2000-07-25,0.6183,0.6183,0.6183,0.6183
2000-07-26,0.622,0.622,0.622,0.622
2000-07-27,0.6184,0.6184,0.6184,0.6184
2000-07-28,0.6158,0.6158,0.6158,0.6158
2000-07-31,0.6194,0.6194,0.6194,0.6194
2000-08-01,0.6145,0.6145,0.6145,0.6145
2000-08-02,0.6119,0.6119,0.6119,0.6119
2000-08-03,0.6055,0.6055,0.6055,0.6055
2000-08-04,0.6034,0.6034,0.6034,0.6034
2000-08-07,0.6019,0.6019,0.6019,0.6019
2000-08-08,0.5997,0.5997,0.5997,0.5997
2000-08-09,0.5993,0.5993,0.5993,0.5993
2000-08-10,0.6067,0.6067,0.6067,0.6067
2000-08-11,0.6011,0.6011,0.6011,0.6011
2000-08-14,0.6001,0.6001,0.6001,0.6001
2000-08-15,0.6073,0.6073,0.6073,0.6073
2000-08-16,0.6101,0.6101,0.6101,0.6101
2000-08-17,0.6102,0.6102,0.6102,0.6102
2000-08-18,0.6091,0.6091,0.6091,0.6091
2000-08-21,0.6056,0.6056,0.6056,0.6056
2000-08-22,0.606,0.606,0.606,0.606
2000-08-23,0.6054,0.6054,0.6054,0.6054
2000-08-24,0.6084,0.6084,0.6084,0.6084
2000-08-25,0.6131,0.6131,0.6131,0.6131
2000-08-28,0.6124,0.6124,0.6124,0.6124
2000-08-29,0.6124,0.6124,0.6124,0.6124
2000-08-30,0.6129,0.6129,0.6129,0.6129
2000-08-31,0.6115,0.6115,0.6115,0.6115
2000-09-01,0.6163,0.6163,0.6163,0.6163
2000-09-04,0.6157,0.6157,0.6157,0.6157
2000-09-05,0.6118,0.6118,0.6118,0.6118
2000-09-06,0.6041,0.6041,0.6041,0.6041
2000-09-07,0.6079,0.6079,0.6079,0.6079
2000-09-08,0.6092,0.6092,0.6092,0.6092
2000-09-11,0.6106,0.6106,0.6106,0.6106
2000-09-12,0.6132,0.6132,0.6132,0.6132
2000-09-13,0.6119,0.6119,0.6119,0.6119
2000-09-14,0.6135,0.6135,0.6135,0.6135
2000-09-15,0.6126,0.6126,0.6126,0.6126
2000-09-18,0.6081,0.6081,0.6081,0.6081
2000-09-19,0.6038,0.6038,0.6038,0.6038
2000-09-20,0.6002,0.6002,0.6002,0.6002
2000-09-21,0.5985,0.5985,0.5985,0.5985
2000-09-22,0.6036,0.6036,0.6036,0.6036
2000-09-25,0.6004,0.6004,0.6004,0.6004
2000-09-26,0.6025,0.6025,0.6025,0.6025
2000-09-27,0.6036,0.6036,0.6036,0.6036
2000-09-28,0.6035,0.6035,0.6035,0.6035
2000-09-29,0.5978,0.5978,0.5978,0.5978
2000-10-02,0.599,0.599,0.599,0.599
