Date,Open,High,Low,Close
2000-01-04,104.09,106.56,103.97,106.4
2000-01-05,106.25,107.7,105.78,107.57
2000-01-06,107.45,109.23,107.25,108.71
2000-01-07,108.74,109.01,107.77,108.36
2000-01-10,108.17,108.23,106.8,107.8
2000-01-11,107.8,109.58,107.8,109.58
2000-01-12,109.51,109.76,108.39,109.21
2000-01-13,109.13,109.17,108.42,108.75
2000-01-14,108.79,109.59,107,107.12
2000-01-17,107.49,107.49,105.44,105.97
2000-01-18,106.15,107.09,105.8,107.06
2000-01-19,107.12,107.4,106.27,106.86
2000-01-20,106.64,107.28,106.07,107.11
2000-01-21,107.05,107.26,105.09,105.67
2000-01-24,105.5,106.3,104.8,106.3
2000-01-25,106.2,106.79,105.58,106.03
2000-01-26,106.13,106.45,105.66,105.83
2000-01-27,105.8,106.15,103.41,103.87
2000-01-28,103.82,104.73,102.84,104.29
2000-01-31,104.4,105.01,103.71,103.96
2000-02-01,104.2,105.24,103.7,104.54
2000-02-02,104.78,106.07,104.16,105.56
2000-02-03,105.55,106.89,104.85,106.56
2000-02-04,106.64,106.75,104.74,105.25
2000-02-07,105.31,106.7,105.05,106.55
2000-02-08,106.61,108.3,106.38,107.79
2000-02-09,107.69,108.5,107.19,108.26
2000-02-10,108.22,108.33,106.75,107.61
2000-02-11,107.55,108.06,107.01,107.28
2000-02-14,107.5,107.5,106.22,106.57
2000-02-15,106.6,107.6,106.05,107.11
2000-02-16,107.11,107.94,106.62,107.88
2000-02-17,107.56,109.57,107.55,109.28
2000-02-18,109.16,109.81,108.8,109.25
2000-02-21,109.1,109.99,108.84,109.9
2000-02-22,109.93,111.73,109.93,111.21
2000-02-23,111.23,112.22,110.57,111.37
2000-02-24,111.52,111.82,109.27,110.35
2000-02-25,110.48,110.54,107.11,107.46
2000-02-28,107.38,107.51,103.96,106.36
2000-02-29,105.67,108.58,105.63,106.4
2000-03-01,105.47,106.51,103.53,104.27
2000-03-02,104.2,105.15,103.14,103.75
2000-03-03,103.75,104.7,103.09,103.4
2000-03-06,103.64,103.68,102.6,103.31
2000-03-07,103.07,103.74,100.9,101.77
2000-03-08,101.8,103.19,101.44,102.98
2000-03-09,102.93,103.33,102.07,103.06
2000-03-10,103.15,103.23,101.88,102.24
2000-03-13,102.33,102.77,101.34,101.87
2000-03-14,101.64,101.94,100.52,101.7
2000-03-15,101.84,103.25,101.2,101.73
2000-03-16,101.95,102.85,101.57,102.49
2000-03-17,102.2,103.7,102.07,103.62
2000-03-20,103.77,104.12,102.97,103.42
2000-03-21,103.45,103.87,102.99,103
2000-03-22,102.65,103.25,101.77,102.46
2000-03-23,102.33,104.44,102.33,104.35
2000-03-24,103.66,104.88,103.4,104.41
2000-03-27,104.46,104.83,102.82,102.98
2000-03-28,103.07,103.4,101.52,101.68
2000-03-29,101.62,101.84,100.02,100.66
2000-03-30,100.69,101.43,100,101.1
2000-03-31,101.35,101.91,97.45,98.2
2000-04-03,98.82,100.93,98.55,100.33
2000-04-04,100.07,101.81,100,101.16
2000-04-05,101.1,101.97,100.85,100.86
2000-04-06,100.55,101.27,100.11,100.49
2000-04-07,100.49,101.27,100.1,100.57
2000-04-10,100.94,102.54,100.43,102.42
2000-04-11,102.44,103.47,102.23,102.51
2000-04-12,102.5,102.79,100.5,101.4
2000-04-13,101.4,101.63,100.42,100.74
2000-04-14,100.85,101.28,99.94,100.76
2000-04-17,100.82,101.1,99.07,99.39
2000-04-18,99.53,99.58,98.61,99.24
2000-04-19,98.85,99.46,98.02,98.36
2000-04-20,98.61,99.24,98.07,98.76
2000-04-21,99.24,99.33,98.52,99.25
2000-04-24,99.13,99.79,98.83,99.04
2000-04-25,98.91,99.32,97.08,97.9
2000-04-26,97.86,98.4,96.92,98.05
2000-04-27,98.02,98.35,96.37,96.69
2000-04-28,96.81,98.74,96.44,98.34
2000-05-01,98.34,99.89,97.93,99.71
2000-05-02,99.71,99.81,97.93,98.6
2000-05-03,98.74,99.14,96.45,97.63
2000-05-04,97.63,98.02,96.04,96.15
2000-05-05,96.41,97.68,95.6,97.29
2000-05-08,97.39,98.48,96.55,97.84
2000-05-09,97.69,99.34,97.19,99.11
2000-05-10,99.1,100.35,98.61,99.54
2000-05-11,99.04,100.31,97.45,97.71
2000-05-12,97.64,100.05,97.02,99.56
2000-05-15,99.59,100.41,99.39,99.61
2000-05-16,98.95,99.83,98.35,99.17
2000-05-17,99.19,99.29,97.29,97.86
2000-05-18,97.63,98.29,96.75,97.24
2000-05-19,97.06,97.34,94.81,96.01
2000-05-22,96.12,97.23,95.76,96.49
2000-05-23,96.7,97.79,96.24,96.39
2000-05-24,96.59,98.25,96.24,97.34
2000-05-25,97.29,98.07,96.62,97.88
2000-05-26,97.96,99.9,97.76,99.64
2000-05-29,99.84,99.84,99.06,99.13
2000-05-30,99.4,100.33,98.68,99.05
2000-05-31,99.41,101.08,98.81,100.89
2000-06-01,100.9,102.23,100.7,101.07
2000-06-02,101.11,102.63,100.7,102.19
2000-06-05,102.16,102.21,101.08,101.99
2000-06-06,101.74,102.25,100.76,100.99
2000-06-07,100.9,101.87,100.52,101.43
2000-06-08,101.32,102.35,100.67,101.36
2000-06-09,101.07,102.53,100.92,101.82
2000-06-12,101.8,102.25,101.04,101.82
2000-06-13,101.89,103.04,101.59,102.66
2000-06-14,102.45,103.15,101.92,102.11
2000-06-15,102.09,102.63,100.75,101.48
2000-06-16,101.57,102.73,100.87,102.46
2000-06-19,102.48,103.06,101.15,101.54
2000-06-20,101.28,101.63,100.38,100.84
2000-06-21,100.81,100.89,99.4,99.81
2000-06-22,99.94,100.27,97.42,97.88
2000-06-23,97.87,98.53,97.47,97.97
2000-06-26,97.88,99.25,96.99,98.95
2000-06-27,98.93,100.02,98.85,99.7
2000-06-28,99.61,100.18,99.15,99.37
2000-06-29,99.37,100.35,98.62,100.2
2000-06-30,99.99,101.69,99.85,100.96
2000-07-03,100.91,101.45,100.16,100.51
2000-07-04,100.61,101.27,100.02,100.91
2000-07-05,101.03,102.38,100.42,101.89
2000-07-06,101.93,103.13,101.83,102.08
2000-07-07,102.12,102.86,101.52,102.3
2000-07-10,102.25,102.32,101.43,102.21
2000-07-11,102.18,102.27,101.41,101.89
2000-07-12,101.98,102.8,101.44,102.1
2000-07-13,101.97,102.35,99.94,101.38
2000-07-14,101.32,101.91,100.52,101.02
2000-07-17,101.13,102.16,100.69,101.52
2000-07-18,101.31,101.85,99.76,99.93
2000-07-19,100.38,100.8,99.21,100.12
2000-07-20,100.09,100.53,99.41,100.44
2000-07-21,100.26,102.06,100.07,101.91
2000-07-24,101.85,102.12,101.34,101.43
2000-07-25,101.56,102.95,101.2,102.56
2000-07-26,102.33,103.28,102.24,102.95
2000-07-27,102.95,103.05,101.69,101.69
2000-07-28,101.95,101.96,100.94,101.18
2000-07-31,101.19,101.83,100.67,101.28
2000-08-01,101.28,101.74,99.8,99.8
2000-08-02,99.96,100.02,99.25,99.53
2000-08-03,99.46,99.87,97.37,98.16
2000-08-04,98.15,98.66,97.48,98.55
2000-08-07,98.55,99.29,98.33,98.97
2000-08-08,99.11,99.19,97.58,97.92
2000-08-09,97.95,97.95,96.63,97.01
2000-08-10,97.16,98.94,96.54,98.6
2000-08-11,98.61,99.41,97.85,98.16
2000-08-14,98.21,99.23,97.87,99.08
2000-08-15,98.89,99.92,98.89,99.54
2000-08-16,99.46,100.18,98.3,99.44
2000-08-17,99.39,99.55,98.78,99.37
2000-08-18,99.45,99.99,98.03,98.2
2000-08-21,98.22,98.75,97.15,97.99
2000-08-22,97.91,98,96.97,97.12
2000-08-23,97.16,97.31,95.02,96.39
2000-08-24,96.56,96.89,95.98,96.4
2000-08-25,96.26,96.89,95.73,96.64
2000-08-28,96.38,96.44,95.45,95.78
2000-08-29,95.76,96.19,94.54,94.57
2000-08-30,94.67,95.39,93.89,95.29
2000-08-31,95.27,95.56,94.3,94.76
2000-09-01,94.8,95.39,94.29,95.34
2000-09-04,95.23,95.59,94.64,94.94
2000-09-05,95.07,95.52,93.66,94.15
2000-09-06,94.16,94.21,91.81,92.09
2000-09-07,92.19,92.65,90.89,91.65
2000-09-08,91.72,92.41,91.57,91.93
2000-09-11,91.68,92.6,90.8,90.91
2000-09-12,91.06,92.97,90.67,92.31
2000-09-13,92.24,93.08,91.9,91.97
2000-09-14,91.91,93.47,91.68,92.77
2000-09-15,92.98,93.56,91.8,91.8
2000-09-18,91.53,91.81,90.88,91.21
2000-09-19,91.3,91.52,90.66,91.08
2000-09-20,91,91.28,89.85,90.17
2000-09-21,90.55,91.65,89.73,91.4
2000-09-22,91.55,95.75,91.47,94.98
2000-09-25,94.98,95.3,93.62,94.11
2000-09-26,94.05,95.02,93.58,94.96
2000-09-27,94.76,95.67,94.2,94.84
2000-09-28,94.84,95.44,94.44,94.51
