Date,Open,High,Low,Close
2000-01-04,1.97074,1.99056,1.96497,1.98383
2000-01-05,1.99013,2.01121,1.98762,1.99419
2000-01-06,2.00622,2.02449,1.9965,2.00602
2000-01-07,1.99382,1.99497,1.97952,1.98706
2000-01-10,1.99051,1.99341,1.976,1.98432
2000-01-11,1.98663,2.00271,1.98314,2.00154
2000-01-12,1.99227,2.00154,1.97992,1.99034
2000-01-13,1.9683,1.97002,1.95417,1.9576
2000-01-14,1.96928,1.97177,1.94067,1.94375
2000-01-17,1.95727,1.96133,1.94587,1.95534
2000-01-18,1.95631,1.96017,1.94664,1.95785
2000-01-19,1.96757,1.97301,1.95728,1.96447
2000-01-20,1.97736,1.9877,1.96487,1.98478
2000-01-21,1.99158,1.99549,1.9671,1.97552
2000-01-24,1.98121,1.99189,1.97607,1.99189
2000-01-25,1.98717,1.99171,1.96981,1.97336
2000-01-26,1.9763,1.98479,1.97216,1.97611
2000-01-27,1.97612,1.97849,1.94672,1.94968
2000-01-28,2.03482,2.03791,2.00556,2.00803
2000-01-31,1.97475,1.98485,1.95273,1.95778
2000-02-01,1.97576,1.99185,1.96741,1.97983
2000-02-02,1.97962,1.99836,1.97411,1.9894
2000-02-03,1.97012,2.00767,1.95942,1.99838
2000-02-04,2.00892,2.01561,1.97627,1.99249
2000-02-07,1.98988,1.98988,1.97329,1.98462
2000-02-08,1.98804,2.00871,1.98257,1.99675
2000-02-09,2.00427,2.02643,2.00305,2.02115
2000-02-10,2.01336,2.01701,1.99068,1.99513
2000-02-11,2.00468,2.00976,1.99145,2.00773
2000-02-14,2.02651,2.03863,2.00842,2.01089
2000-02-15,2.00739,2.02422,2.0039,2.01437
2000-02-16,2.00183,2.0151,1.99755,2.01346
2000-02-17,2.00549,2.0244,1.99979,2.00833
2000-02-18,2.01283,2.01752,1.99796,2.00978
2000-02-21,2.01082,2.0196,2.0098,2.01633
2000-02-22,2.01489,2.05673,2.01428,2.04857
2000-02-23,2.06735,2.07806,2.06117,2.06549
2000-02-24,2.06291,2.06414,2.03248,2.04132
2000-02-25,2.03777,2.03797,1.99548,2
2000-02-28,2.01197,2.01197,1.93848,2.00598
2000-02-29,1.9963,2.02671,1.97554,1.98191
2000-03-01,1.98497,2.01049,1.98085,2.0037
2000-03-02,1.99835,2.01108,1.97371,1.97987
2000-03-03,1.97724,1.9838,1.96494,1.9674
2000-03-06,1.98919,2.00914,1.98524,1.99293
2000-03-07,1.98427,1.99192,1.97102,1.98592
2000-03-08,1.96351,1.97397,1.95101,1.96864
2000-03-09,1.94551,1.96475,1.94308,1.95705
2000-03-10,1.95291,1.95696,1.93877,1.94544
2000-03-13,1.95133,1.97242,1.94931,1.95559
2000-03-14,1.96491,1.9745,1.95635,1.9743
2000-03-15,1.9834,1.98955,1.97418,1.98156
2000-03-16,1.97991,1.9961,1.97663,1.99077
2000-03-17,2.00185,2.00846,1.99359,2.00702
2000-03-20,2.01095,2.0153,2.00186,2.01199
2000-03-21,1.98632,1.98734,1.96591,1.96754
2000-03-22,1.97331,1.977,1.9653,1.9729
2000-03-23,1.96743,1.99242,1.9662,1.99016
2000-03-24,1.9869,1.99959,1.9777,1.99815
2000-03-27,1.97673,1.98057,1.9486,1.95568
2000-03-28,1.92571,1.93188,1.91157,1.91256
2000-03-29,1.91674,1.91714,1.89179,1.89938
2000-03-30,1.90847,1.93115,1.90786,1.92874
2000-03-31,1.93731,1.94053,1.91997,1.92703
2000-04-03,1.91698,1.9256,1.90495,1.91457
2000-04-04,1.90529,1.94805,1.90029,1.91848
2000-04-05,1.90979,1.92926,1.90542,1.91158
2000-04-06,1.91503,1.92321,1.90725,1.91005
2000-04-07,1.91696,1.92376,1.90756,1.91016
2000-04-10,1.91395,1.9308,1.91135,1.9302
2000-04-11,1.93271,1.93753,1.92026,1.92588
2000-04-12,1.92895,1.93197,1.91547,1.92916
2000-04-13,1.92703,1.92844,1.91195,1.91417
2000-04-14,1.91457,1.93386,1.91075,1.93346
2000-04-17,1.95024,1.9561,1.92455,1.92597
2000-04-18,1.92343,1.92404,1.90666,1.9105
2000-04-19,1.89606,1.90369,1.8764,1.88663
2000-04-20,1.90457,1.90903,1.89343,1.89971
2000-04-21,1.90089,1.90433,1.89704,1.90129
2000-04-24,1.89745,1.9112,1.89421,1.89785
2000-04-25,1.89636,1.89797,1.8505,1.8602
2000-04-26,1.89368,1.90232,1.88607,1.89923
2000-04-27,1.89829,1.90034,1.8611,1.86911
2000-04-28,1.8759,1.88414,1.86085,1.88002
2000-05-01,1.88194,1.89287,1.87162,1.88998
2000-05-02,1.88776,1.89292,1.863,1.87703
2000-05-03,1.86091,1.86275,1.81652,1.83186
2000-05-04,1.82474,1.82861,1.80232,1.81516
2000-05-05,1.81833,1.83935,1.81649,1.83037
2000-05-08,1.8505,1.86764,1.84018,1.85277
2000-05-09,1.87163,1.8948,1.86641,1.89375
2000-05-10,1.90343,1.91181,1.89463,1.89882
2000-05-11,1.89352,1.90903,1.88367,1.88912
2000-05-12,1.88181,1.92086,1.87408,1.92044
2000-05-15,1.93687,1.94046,1.92294,1.92421
2000-05-16,1.91795,1.92556,1.90145,1.90357
2000-05-17,1.95399,1.95963,1.92838,1.94249
2000-05-18,1.97614,1.98144,1.96554,1.97526
2000-05-19,1.96206,1.97302,1.93925,1.96754
2000-05-22,1.95319,1.97453,1.94841,1.96495
2000-05-23,1.97245,2.00109,1.97071,1.98338
2000-05-24,1.99867,2.01168,1.98897,1.9903
2000-05-25,1.9783,2.00153,1.96625,1.99934
2000-05-26,1.99628,2.0433,1.99212,2.0363
2000-05-29,2.03581,2.03821,2.01637,2.02314
2000-05-30,2.01346,2.04431,2.00651,2.01998
2000-05-31,2.02838,2.04847,2.02074,2.04737
2000-06-01,2.05505,2.05703,2.03575,2.04277
2000-06-02,1.99742,2.03861,1.99313,2.02981
2000-06-05,2.01813,2.02453,2.00703,2.02154
2000-06-06,1.99788,2.02681,1.9943,2.01456
2000-06-07,2.0229,2.04241,2.02078,2.03923
2000-06-08,2.05928,2.07641,2.03446,2.04601
2000-06-09,2.03997,2.04531,2.02116,2.03698
2000-06-12,2.02401,2.03209,2.01636,2.02592
2000-06-13,2.02098,2.04514,2.01738,2.03264
2000-06-14,2.01598,2.03071,2.01198,2.01451
2000-06-15,2.03508,2.0421,2.01956,2.02891
2000-06-16,1.99581,2.02007,1.98556,2.01756
2000-06-19,2.03807,2.05077,2.02242,2.0239
2000-06-20,2.01559,2.02718,2.00716,2.01074
2000-06-21,2.00673,2.00757,1.98317,1.98611
2000-06-22,2.0085,2.01339,1.98554,1.98873
2000-06-23,1.9881,2.00361,1.98385,1.98831
2000-06-26,1.98726,1.99469,1.97324,1.98832
2000-06-27,1.98013,2.00147,1.97632,1.99894
2000-06-28,2.02702,2.03088,2.01522,2.01887
2000-06-29,2.01024,2.0363,2.0096,2.03224
2000-06-30,2.02816,2.04843,2.02688,2.03179
2000-07-03,2.04028,2.04521,2.03085,2.03599
2000-07-04,2.04541,2.04907,2.03659,2.04627
2000-07-05,2.06467,2.07703,2.06271,2.06792
2000-07-06,2.06927,2.08403,2.06145,2.06406
2000-07-07,2.06607,2.07041,2.05564,2.06085
2000-07-10,2.05639,2.07245,2.05466,2.0718
2000-07-11,2.07655,2.08025,2.0635,2.0709
2000-07-12,2.07116,2.07312,2.0433,2.05027
2000-07-13,2.04786,2.05047,2.02785,2.03872
2000-07-14,2.03475,2.03975,2.02324,2.03801
2000-07-17,2.04848,2.05263,2.03887,2.04498
2000-07-18,2.04767,2.04788,2.01727,2.02055
2000-07-19,2.0323,2.03538,2.01934,2.0312
2000-07-20,2.00716,2.02844,1.99696,2.02518
2000-07-21,2.01751,2.02833,2.0134,2.02595
2000-07-24,2.03566,2.03871,2.02414,2.03023
2000-07-25,2.03046,2.05178,2.02676,2.04134
2000-07-26,2.03382,2.04856,2.03317,2.04488
2000-07-27,2.0587,2.06067,2.03273,2.03339
2000-07-28,2.03784,2.04222,2.01684,2.01925
2000-07-31,2.03458,2.04736,2.03062,2.03987
2000-08-01,2.04571,2.05189,2.0159,2.01833
2000-08-02,2.01432,2.02467,2.00705,2.01145
2000-08-03,2.01078,2.01981,1.97908,1.99559
2000-08-04,1.99427,2.00264,1.98283,1.99779
2000-08-07,1.99472,2.00395,1.99032,1.99538
2000-08-08,2.00419,2.00684,1.98409,1.99226
2000-08-09,1.99911,2.00177,1.98559,1.99734
2000-08-10,1.99955,2.01908,1.99755,2.01464
2000-08-11,2.02204,2.0363,2.00935,2.00935
2000-08-14,2.00488,2.01153,1.99578,2.00909
2000-08-15,2.01917,2.03744,2.01827,2.0341
2000-08-16,2.02283,2.03436,2.00842,2.03014
2000-08-17,2.02252,2.02539,2.01192,2.02296
2000-08-18,2.03758,2.04292,2.01401,2.01579
2000-08-21,2.01533,2.01688,2.00111,2.004
2000-08-22,2.03749,2.04065,2.01942,2.02597
2000-08-23,2.09042,2.10137,2.07527,2.09951
2000-08-24,2.08025,2.08763,2.07333,2.07956
2000-08-25,2.07001,2.08264,2.05968,2.0707
2000-08-28,2.08071,2.08556,2.07149,2.07518
2000-08-29,2.10091,2.10745,2.07988,2.08409
2000-08-30,2.09265,2.09875,2.07952,2.09781
2000-08-31,2.09826,2.10412,2.07246,2.08395
2000-09-01,2.07641,2.10703,2.07338,2.10212
2000-09-04,2.09575,2.10577,2.08807,2.09109
2000-09-05,2.10532,2.1086,2.07506,2.08679
2000-09-06,2.09095,2.09118,2.04065,2.04371
2000-09-07,2.08918,2.10141,2.0688,2.09014
2000-09-08,2.08313,2.08982,2.06235,2.0688
2000-09-11,2.01421,2.03333,1.99603,1.99976
2000-09-12,2.01455,2.03919,2.0061,2.02651
2000-09-13,2.04355,2.05988,2.03076,2.03384
2000-09-14,2.03189,2.06474,2.02362,2.04206
2000-09-15,2.0672,2.0806,2.03874,2.04066
2000-09-18,2.08431,2.0953,2.07942,2.08528
2000-09-19,2.06726,2.0721,2.05032,2.05903
2000-09-20,2.09967,2.10165,2.08166,2.09474
2000-09-21,2.08112,2.11151,2.0723,2.11127
2000-09-22,2.09113,2.19246,2.08213,2.12831
2000-09-25,2.14042,2.14845,2.11925,2.12752
2000-09-26,2.11258,2.13529,2.10775,2.13239
2000-09-27,2.1198,2.13325,2.10804,2.12028
2000-09-28,2.13233,2.14054,2.11663,2.12267
2000-09-29,2.1573,2.17202,2.14601,2.16858
2000-10-02,2.19246,2.19667,2.17212,2.17509
2000-10-03,2.16942,2.17313,2.1578,2.16472
2000-10-04,2.17295,2.17816,2.16228,2.17096
2000-10-05,2.18272,2.19345,2.16575,2.16824
2000-10-06,2.16061,2.17329,2.1529,2.15862
2000-10-09,2.15661,2.16207,2.14916,2.15438
2000-10-10,2.15355,2.16918,2.1476,2.16199
2000-10-11,2.1476,2.15993,2.13208,2.13307
2000-10-12,2.17336,2.1809,2.16306,2.16633
2000-10-13,2.1649,2.17369,2.14006,2.14859
2000-10-16,2.16438,2.16717,2.14184,2.15248
2000-10-17,2.15761,2.17258,2.15,2.16751
2000-10-18,2.16946,2.1786,2.11458,2.13109
2000-10-19,2.12954,2.14681,2.12801,2.14147
2000-10-20,2.10254,2.11576,2.08258,2.10054
2000-10-23,2.09827,2.10102,2.08106,2.08331
2000-10-24,2.07247,2.08562,2.07024,2.07396
2000-10-25,2.09421,2.10122,2.06539,2.07216
2000-10-26,2.0696,2.08412,2.05933,2.07836
2000-10-27,2.06231,2.09558,2.05635,2.08391
2000-10-30,2.08973,2.11981,2.08426,2.08749
2000-10-31,2.11901,2.14296,2.11245,2.14069
2000-11-01,2.14839,2.18156,2.14332,2.1808
2000-11-02,2.18075,2.19417,2.16455,2.17544
2000-11-03,2.16225,2.21617,2.15923,2.18291
2000-11-06,2.17029,2.18632,2.14224,2.15652
2000-11-07,2.16352,2.17683,2.15347,2.16076
2000-11-08,2.16297,2.18561,2.14134,2.15191
2000-11-09,2.14812,2.177,2.13758,2.17424
2000-11-10,2.18346,2.19405,2.16481,2.16784
2000-11-13,2.17816,2.18953,2.16755,2.17134
2000-11-14,2.16216,2.17605,2.15862,2.16696
2000-11-15,2.14779,2.16257,2.14178,2.14679
2000-11-16,2.16191,2.16847,2.14653,2.14829
2000-11-17,2.13143,2.14292,2.11694,2.12068
2000-11-20,2.13929,2.14659,2.13073,2.14382
2000-11-21,2.17193,2.17704,2.14642,2.15127
2000-11-22,2.10276,2.11648,2.09728,2.10526
2000-11-23,2.112,2.114,2.0925,2.095
2000-11-24,2.10225,2.11929,2.09824,2.101
2000-11-27,2.08242,2.11643,2.08068,2.1132
2000-11-28,2.09958,2.11461,2.09514,2.11091
2000-11-29,2.11723,2.14147,2.11526,2.1207
2000-11-30,2.0943,2.13388,2.09235,2.13095
2000-12-01,2.10371,2.12083,2.09792,2.11866
2000-12-04,2.08868,2.12363,2.08107,2.11364
2000-12-05,2.11227,2.11869,2.08872,2.09229
2000-12-06,2.0814,2.11074,2.07477,2.10908
2000-12-07,2.08901,2.10213,2.07308,2.08292
2000-12-08,2.08138,2.08489,2.05916,2.07202
2000-12-11,2.08755,2.09725,2.06956,2.0724
2000-12-12,2.08507,2.10028,2.07889,2.0884
2000-12-13,2.08887,2.09505,2.07034,2.08317
2000-12-14,2.07922,2.11456,2.07613,2.11219
2000-12-15,2.08257,2.09937,2.07604,2.08817
2000-12-18,2.08414,2.10186,2.07925,2.08251
2000-12-19,2.08071,2.08606,2.06513,2.08025
2000-12-20,2.05605,2.09028,2.0549,2.08913
2000-12-21,2.07155,2.09024,2.06335,2.08751
2000-12-22,2.08202,2.10452,2.07725,2.09952
2000-12-25,2.09648,2.10624,2.0874,2.10011
2000-12-26,2.09504,2.10975,2.08916,2.10635
2000-12-27,2.10736,2.11574,2.09943,2.10736
2000-12-28,2.11743,2.12039,2.10332,2.11515
2000-12-29,2.10226,2.13235,2.09841,2.13167
2001-01-01,2.12641,2.12821,2.12009,2.12325
2001-01-02,2.13238,2.15252,2.11835,2.1489
2001-01-03,2.12567,2.13998,2.07334,2.07535
2001-01-04,2.0829,2.13862,2.08043,2.1321
2001-01-05,2.10436,2.12608,2.09683,2.12231
2001-01-08,2.12566,2.12966,2.10102,2.1039
2001-01-09,2.11717,2.11918,2.09704,2.11359
2001-01-10,2.11519,2.12124,2.09771,2.09861
2001-01-11,2.08556,2.12811,2.08556,2.12299
2001-01-12,2.13255,2.14509,2.11957,2.13076
2001-01-15,2.14685,2.14978,2.12203,2.12542
2001-01-16,2.12066,2.12516,2.10918,2.11931
2001-01-17,2.1283,2.13395,2.0978,2.11249
2001-01-18,2.09683,2.12172,2.09594,2.11611
2001-01-19,2.10451,2.12237,2.08463,2.08485
2001-01-22,2.09253,2.10687,2.07663,2.10463
2001-01-23,2.10592,2.12073,2.10233,2.10412
2001-01-24,2.13926,2.13949,2.10251,2.10273
2001-01-25,2.12647,2.13477,2.10223,2.13293
2001-01-26,2.12126,2.13987,2.11162,2.12172
2001-01-29,2.12727,2.13118,2.10701,2.10863
2001-01-30,2.10176,2.12651,2.09534,2.12353
2001-01-31,2.12239,2.1476,2.11987,2.14577
2001-02-01,2.09854,2.11534,2.09518,2.10257
2001-02-02,2.11116,2.11971,2.09608,2.10621
2001-02-05,2.11284,2.13523,2.11194,2.12121
2001-02-06,2.11647,2.11896,2.09458,2.1009
2001-02-07,2.10038,2.10963,2.08729,2.09293
2001-02-08,2.1392,2.14289,2.10785,2.1173
2001-02-09,2.10845,2.1312,2.09627,2.12431
2001-02-12,2.1167,2.13501,2.11556,2.13043
2001-02-13,2.14855,2.15224,2.11487,2.12364
2001-02-14,2.14813,2.1542,2.14065,2.14509
2001-02-15,2.1623,2.16607,2.12555,2.1305
2001-02-16,2.10712,2.13716,2.10619,2.12575
2001-02-19,2.11832,2.14269,2.11554,2.13851
2001-02-20,2.15838,2.16471,2.11972,2.13706
2001-02-21,2.12093,2.13511,2.10558,2.11441
2001-02-22,2.10858,2.11832,2.09118,2.0993
2001-02-23,2.10178,2.14036,2.09714,2.13153
2001-02-26,2.13454,2.1385,2.11266,2.1215
2001-02-27,2.10787,2.13217,2.10185,2.12361
2001-02-28,2.1373,2.15406,2.13125,2.14801
2001-03-01,2.13723,2.15713,2.13376,2.15089
2001-03-02,2.13308,2.15236,2.1301,2.14433
2001-03-05,2.16786,2.16832,2.14841,2.15188
2001-03-06,2.15475,2.1696,2.14593,2.16728
2001-03-07,2.19915,2.20597,2.18032,2.18785
