Date,Open,High,Low,Close
2000-01-04,169.02,169.02,169.02,169.02
2000-01-05,170.94,170.94,170.94,170.94
2000-01-06,173.8,173.8,173.8,173.8
2000-01-07,172.49,172.49,172.49,172.49
2000-01-10,172.12,172.12,172.12,172.12
2000-01-11,174.77,174.77,174.77,174.77
2000-01-12,174.82,174.82,174.82,174.82
2000-01-13,174.67,174.67,174.67,174.67
2000-01-14,173.17,173.17,173.17,173.17
2000-01-17,171.17,171.17,171.17,171.17
2000-01-18,173.21,173.21,173.21,173.21
2000-01-19,173.67,173.67,173.67,173.67
2000-01-20,174.84,174.84,174.84,174.84
2000-01-21,172.78,172.78,172.78,172.78
2000-01-24,175.33,175.33,175.33,175.33
2000-01-25,173.96,173.96,173.96,173.96
2000-01-26,173.18,173.18,173.18,173.18
2000-01-27,171.8,171.8,171.8,171.8
2000-01-28,173.07,173.07,173.07,173.07
2000-01-31,172.4,172.4,172.4,172.4
2000-02-01,173.6,173.6,173.6,173.6
2000-02-02,173.45,173.45,173.45,173.45
2000-02-03,172.23,172.23,172.23,172.23
2000-02-04,170.89,170.89,170.89,170.89
2000-02-07,173.59,173.59,173.59,173.59
2000-02-08,175.78,175.78,175.78,175.78
2000-02-09,176,176,176,176
2000-02-10,175.2,175.2,175.2,175.2
2000-02-11,173.51,173.51,173.51,173.51
2000-02-14,172.98,172.98,172.98,172.98
2000-02-15,173.68,173.68,173.68,173.68
2000-02-16,175.79,175.79,175.79,175.79
2000-02-17,177.75,177.75,177.75,177.75
2000-02-18,177.3,177.3,177.3,177.3
2000-02-21,178.18,178.18,178.18,178.18
2000-02-22,178.45,178.45,178.45,178.45
2000-02-23,178.45,178.45,178.45,178.45
2000-02-24,177.61,177.61,177.61,177.61
2000-02-25,175.62,175.62,175.62,175.62
2000-02-28,175.11,175.11,175.11,175.11
2000-02-29,174.17,174.17,174.17,174.17
2000-03-01,170.01,170.01,170.01,170.01
2000-03-02,169.66,169.66,169.66,169.66
2000-03-03,169.79,169.79,169.79,169.79
2000-03-06,169.14,169.14,169.14,169.14
2000-03-07,167.88,167.88,167.88,167.88
2000-03-08,169.38,169.38,169.38,169.38
2000-03-09,168.43,168.43,168.43,168.43
2000-03-10,167.11,167.11,167.11,167.11
2000-03-13,166.64,166.64,166.64,166.64
2000-03-14,165.8,165.8,165.8,165.8
2000-03-15,165.04,165.04,165.04,165.04
2000-03-16,166.6,166.6,166.6,166.6
2000-03-17,167.72,167.72,167.72,167.72
