Date,Open,High,Low,Close
2000-01-04,0.5196,0.5196,0.5196,0.5196
2000-01-05,0.5172,0.5172,0.5172,0.5172
2000-01-06,0.5144,0.5144,0.5144,0.5144
2000-01-07,0.5178,0.5178,0.5178,0.5178
2000-01-10,0.5167,0.5167,0.5167,0.5167
2000-01-11,0.5162,0.5162,0.5162,0.5162
2000-01-12,0.518,0.518,0.518,0.518
2000-01-13,0.5237,0.5237,0.5237,0.5237
2000-01-14,0.5209,0.5209,0.5209,0.5209
2000-01-17,0.5173,0.5173,0.5173,0.5173
2000-01-18,0.5173,0.5173,0.5173,0.5173
2000-01-19,0.5151,0.5151,0.5151,0.5151
2000-01-20,0.5125,0.5125,0.5125,0.5125
2000-01-21,0.5107,0.5107,0.5107,0.5107
2000-01-24,0.5058,0.5058,0.5058,0.5058
2000-01-25,0.5069,0.5069,0.5069,0.5069
2000-01-26,0.5065,0.5065,0.5065,0.5065
2000-01-27,0.5068,0.5068,0.5068,0.5068
2000-01-28,0.4853,0.4853,0.4853,0.4853
2000-01-31,0.4951,0.4951,0.4951,0.4951
2000-02-01,0.491,0.491,0.491,0.491
2000-02-02,0.4907,0.4907,0.4907,0.4907
2000-02-03,0.4954,0.4954,0.4954,0.4954
2000-02-04,0.4931,0.4931,0.4931,0.4931
2000-02-07,0.4942,0.4942,0.4942,0.4942
2000-02-08,0.4935,0.4935,0.4935,0.4935
2000-02-09,0.4917,0.4917,0.4917,0.4917
2000-02-10,0.4937,0.4937,0.4937,0.4937
2000-02-11,0.4913,0.4913,0.4913,0.4913
2000-02-14,0.4866,0.4866,0.4866,0.4866
2000-02-15,0.4871,0.4871,0.4871,0.4871
2000-02-16,0.49,0.49,0.49,0.49
2000-02-17,0.4918,0.4918,0.4918,0.4918
2000-02-18,0.4907,0.4907,0.4907,0.4907
2000-02-21,0.4896,0.4896,0.4896,0.4896
2000-02-22,0.49,0.49,0.49,0.49
2000-02-23,0.4855,0.4855,0.4855,0.4855
2000-02-24,0.4864,0.4864,0.4864,0.4864
2000-02-25,0.4871,0.4871,0.4871,0.4871
2000-02-28,0.4844,0.4844,0.4844,0.4844
2000-02-29,0.4867,0.4867,0.4867,0.4867
2000-03-01,0.4858,0.4858,0.4858,0.4858
2000-03-02,0.487,0.487,0.487,0.487
2000-03-03,0.4878,0.4878,0.4878,0.4878
2000-03-06,0.4813,0.4813,0.4813,0.4813
2000-03-07,0.4832,0.4832,0.4832,0.4832
2000-03-08,0.4879,0.4879,0.4879,0.4879
2000-03-09,0.4937,0.4937,0.4937,0.4937
2000-03-10,0.4949,0.4949,0.4949,0.4949
2000-03-13,0.4932,0.4932,0.4932,0.4932
2000-03-14,0.4903,0.4903,0.4903,0.4903
2000-03-15,0.4881,0.4881,0.4881,0.4881
2000-03-16,0.4879,0.4879,0.4879,0.4879
2000-03-17,0.4843,0.4843,0.4843,0.4843
2000-03-20,0.4836,0.4836,0.4836,0.4836
2000-03-21,0.4899,0.4899,0.4899,0.4899
2000-03-22,0.4871,0.4871,0.4871,0.4871
2000-03-23,0.4882,0.4882,0.4882,0.4882
2000-03-24,0.4889,0.4889,0.4889,0.4889
2000-03-27,0.4942,0.4942,0.4942,0.4942
2000-03-28,0.5021,0.5021,0.5021,0.5021
2000-03-29,0.5009,0.5009,0.5009,0.5009
2000-03-30,0.4982,0.4982,0.4982,0.4982
2000-03-31,0.4961,0.4961,0.4961,0.4961
2000-04-03,0.4987,0.4987,0.4987,0.4987
2000-04-04,0.5005,0.5005,0.5005,0.5005
2000-04-05,0.5033,0.5033,0.5033,0.5033
2000-04-06,0.5014,0.5014,0.5014,0.5014
2000-04-07,0.4998,0.4998,0.4998,0.4998
