Date,Open,High,Low,Close
2000-01-04,1.556,1.556,1.556,1.556
2000-01-05,1.5518,1.5518,1.5518,1.5518
2000-01-06,1.5572,1.5572,1.5572,1.5572
2000-01-07,1.5643,1.5643,1.5643,1.5643
2000-01-10,1.5696,1.5696,1.5696,1.5696
2000-01-11,1.5594,1.5594,1.5594,1.5594
2000-01-12,1.5636,1.5636,1.5636,1.5636
2000-01-13,1.5698,1.5698,1.5698,1.5698
2000-01-14,1.5941,1.5941,1.5941,1.5941
2000-01-17,1.5998,1.5998,1.5998,1.5998
2000-01-18,1.592,1.592,1.592,1.592
2000-01-19,1.5953,1.5953,1.5953,1.5953
2000-01-20,1.5874,1.5874,1.5874,1.5874
2000-01-21,1.597,1.597,1.597,1.597
2000-01-24,1.6086,1.6086,1.6086,1.6086
2000-01-25,1.6057,1.6057,1.6057,1.6057
2000-01-26,1.6092,1.6092,1.6092,1.6092
2000-01-27,1.631,1.631,1.631,1.631
2000-01-28,1.6494,1.6494,1.6494,1.6494
2000-01-31,1.649,1.649,1.649,1.649
2000-02-01,1.6553,1.6553,1.6553,1.6553
2000-02-02,1.6484,1.6484,1.6484,1.6484
2000-02-03,1.6248,1.6248,1.6248,1.6248
2000-02-04,1.6445,1.6445,1.6445,1.6445
2000-02-07,1.6415,1.6415,1.6415,1.6415
2000-02-08,1.629,1.629,1.629,1.629
2000-02-09,1.6224,1.6224,1.6224,1.6224
2000-02-10,1.6268,1.6268,1.6268,1.6268
2000-02-11,1.6299,1.6299,1.6299,1.6299
2000-02-14,1.6424,1.6424,1.6424,1.6424
2000-02-15,1.6324,1.6324,1.6324,1.6324
2000-02-16,1.6302,1.6302,1.6302,1.6302
2000-02-17,1.626,1.626,1.626,1.626
2000-02-18,1.6286,1.6286,1.6286,1.6286
2000-02-21,1.6236,1.6236,1.6236,1.6236
2000-02-22,1.5956,1.5956,1.5956,1.5956
2000-02-23,1.6085,1.6085,1.6085,1.6085
2000-02-24,1.6178,1.6178,1.6178,1.6178
2000-02-25,1.6516,1.6516,1.6516,1.6516
2000-02-28,1.6594,1.6594,1.6594,1.6594
2000-02-29,1.6634,1.6634,1.6634,1.6634
2000-03-01,1.6547,1.6547,1.6547,1.6547
2000-03-02,1.6659,1.6659,1.6659,1.6659
2000-03-03,1.6696,1.6696,1.6696,1.6696
2000-03-06,1.6732,1.6732,1.6732,1.6732
2000-03-07,1.6802,1.6802,1.6802,1.6802
2000-03-08,1.6704,1.6704,1.6704,1.6704
2000-03-09,1.6608,1.6608,1.6608,1.6608
2000-03-10,1.6648,1.6648,1.6648,1.6648
2000-03-13,1.6694,1.6694,1.6694,1.6694
2000-03-14,1.6705,1.6705,1.6705,1.6705
2000-03-15,1.6616,1.6616,1.6616,1.6616
2000-03-16,1.6628,1.6628,1.6628,1.6628
2000-03-17,1.6606,1.6606,1.6606,1.6606
2000-03-20,1.6604,1.6604,1.6604,1.6604
2000-03-21,1.6598,1.6598,1.6598,1.6598
2000-03-22,1.6742,1.6742,1.6742,1.6742
2000-03-23,1.6492,1.6492,1.6492,1.6492
2000-03-24,1.6234,1.6234,1.6234,1.6234
2000-03-27,1.6406,1.6406,1.6406,1.6406
2000-03-28,1.6547,1.6547,1.6547,1.6547
2000-03-29,1.6704,1.6704,1.6704,1.6704
2000-03-30,1.6599,1.6599,1.6599,1.6599
2000-03-31,1.6611,1.6611,1.6611,1.6611
2000-04-03,1.6622,1.6622,1.6622,1.6622
2000-04-04,1.6508,1.6508,1.6508,1.6508
2000-04-05,1.633,1.633,1.633,1.633
2000-04-06,1.6384,1.6384,1.6384,1.6384
2000-04-07,1.6367,1.6367,1.6367,1.6367
2000-04-10,1.641,1.641,1.641,1.641
2000-04-11,1.6396,1.6396,1.6396,1.6396
2000-04-12,1.6484,1.6484,1.6484,1.6484
2000-04-13,1.6512,1.6512,1.6512,1.6512
2000-04-14,1.6438,1.6438,1.6438,1.6438
2000-04-17,1.6424,1.6424,1.6424,1.6424
2000-04-18,1.6606,1.6606,1.6606,1.6606
2000-04-19,1.672,1.672,1.672,1.672
2000-04-20,1.6759,1.6759,1.6759,1.6759
2000-04-21,1.6753,1.6753,1.6753,1.6753
2000-04-24,1.6732,1.6732,1.6732,1.6732
2000-04-25,1.7006,1.7006,1.7006,1.7006
2000-04-26,1.7078,1.7078,1.7078,1.7078
2000-04-27,1.7295,1.7295,1.7295,1.7295
2000-04-28,1.724,1.724,1.724,1.724
2000-05-01,1.7078,1.7078,1.7078,1.7078
2000-05-02,1.7177,1.7177,1.7177,1.7177
2000-05-03,1.7362,1.7362,1.7362,1.7362
2000-05-04,1.7342,1.7342,1.7342,1.7342
2000-05-05,1.7318,1.7318,1.7318,1.7318
2000-05-08,1.7294,1.7294,1.7294,1.7294
2000-05-09,1.718,1.718,1.718,1.718
2000-05-10,1.7176,1.7176,1.7176,1.7176
2000-05-11,1.7242,1.7242,1.7242,1.7242
2000-05-12,1.6967,1.6967,1.6967,1.6967
2000-05-15,1.704,1.704,1.704,1.704
2000-05-16,1.7166,1.7166,1.7166,1.7166
2000-05-17,1.7382,1.7382,1.7382,1.7382
2000-05-18,1.7375,1.7375,1.7375,1.7375
2000-05-19,1.7288,1.7288,1.7288,1.7288
2000-05-22,1.7172,1.7172,1.7172,1.7172
2000-05-23,1.7282,1.7282,1.7282,1.7282
2000-05-24,1.7178,1.7178,1.7178,1.7178
2000-05-25,1.7188,1.7188,1.7188,1.7188
2000-05-26,1.6796,1.6796,1.6796,1.6796
2000-05-29,1.6896,1.6896,1.6896,1.6896
2000-05-30,1.6868,1.6868,1.6868,1.6868
2000-05-31,1.6816,1.6816,1.6816,1.6816
2000-06-01,1.687,1.687,1.687,1.687
2000-06-02,1.6694,1.6694,1.6694,1.6694
2000-06-05,1.6616,1.6616,1.6616,1.6616
2000-06-06,1.6476,1.6476,1.6476,1.6476
2000-06-07,1.6325,1.6325,1.6325,1.6325
2000-06-08,1.6399,1.6399,1.6399,1.6399
2000-06-09,1.6434,1.6434,1.6434,1.6434
2000-06-12,1.6332,1.6332,1.6332,1.6332
2000-06-13,1.6245,1.6245,1.6245,1.6245
2000-06-14,1.6316,1.6316,1.6316,1.6316
2000-06-15,1.6364,1.6364,1.6364,1.6364
2000-06-16,1.6168,1.6168,1.6168,1.6168
2000-06-19,1.6262,1.6262,1.6262,1.6262
2000-06-20,1.6272,1.6272,1.6272,1.6272
2000-06-21,1.6383,1.6383,1.6383,1.6383
2000-06-22,1.6524,1.6524,1.6524,1.6524
2000-06-23,1.6558,1.6558,1.6558,1.6558
2000-06-26,1.6502,1.6502,1.6502,1.6502
2000-06-27,1.639,1.639,1.639,1.639
2000-06-28,1.6436,1.6436,1.6436,1.6436
2000-06-29,1.6382,1.6382,1.6382,1.6382
2000-06-30,1.6311,1.6311,1.6311,1.6311
2000-07-03,1.6358,1.6358,1.6358,1.6358
2000-07-04,1.6327,1.6327,1.6327,1.6327
2000-07-05,1.622,1.622,1.622,1.622
2000-07-06,1.6235,1.6235,1.6235,1.6235
2000-07-07,1.6262,1.6262,1.6262,1.6262
2000-07-10,1.6251,1.6251,1.6251,1.6251
2000-07-11,1.6277,1.6277,1.6277,1.6277
2000-07-12,1.6509,1.6509,1.6509,1.6509
2000-07-13,1.6566,1.6566,1.6566,1.6566
2000-07-14,1.6538,1.6538,1.6538,1.6538
2000-07-17,1.6572,1.6572,1.6572,1.6572
2000-07-18,1.6597,1.6597,1.6597,1.6597
2000-07-19,1.6778,1.6778,1.6778,1.6778
2000-07-20,1.6676,1.6676,1.6676,1.6676
2000-07-21,1.6629,1.6629,1.6629,1.6629
2000-07-24,1.6664,1.6664,1.6664,1.6664
2000-07-25,1.6533,1.6533,1.6533,1.6533
2000-07-26,1.6487,1.6487,1.6487,1.6487
2000-07-27,1.6585,1.6585,1.6585,1.6585
2000-07-28,1.6747,1.6747,1.6747,1.6747
2000-07-31,1.6652,1.6652,1.6652,1.6652
2000-08-01,1.6789,1.6789,1.6789,1.6789
2000-08-02,1.6894,1.6894,1.6894,1.6894
2000-08-03,1.7078,1.7078,1.7078,1.7078
2000-08-04,1.7049,1.7049,1.7049,1.7049
2000-08-07,1.7019,1.7019,1.7019,1.7019
2000-08-08,1.711,1.711,1.711,1.711
2000-08-09,1.717,1.717,1.717,1.717
2000-08-10,1.7044,1.7044,1.7044,1.7044
2000-08-11,1.7213,1.7213,1.7213,1.7213
2000-08-14,1.7209,1.7209,1.7209,1.7209
2000-08-15,1.7089,1.7089,1.7089,1.7089
2000-08-16,1.7082,1.7082,1.7082,1.7082
2000-08-17,1.7084,1.7084,1.7084,1.7084
2000-08-18,1.7213,1.7213,1.7213,1.7213
2000-08-21,1.7297,1.7297,1.7297,1.7297
2000-08-22,1.7406,1.7406,1.7406,1.7406
2000-08-23,1.7248,1.7248,1.7248,1.7248
